step,lr,train_loss,val_loss,elapsed_s
500,3.00e-04,0.1411,0.1516,275
1000,2.56e-04,0.1380,0.1480,582
1500,1.50e-04,0.1368,0.1446,872
2000,4.41e-05,0.1365,0.1416,1189
2500,1.85e-10,0.1352,0.1404,1460
