model,variable,lead_h,crps,rmse,spread,spread_skill,n_inits
graphcast_det,u10,6,0.08245287672384309,0.10953531237267658,,,181
graphcast_det,v10,6,0.08431392075989629,0.11107838314376484,,,181
graphcast_det,t2m,6,0.15341921175532908,0.26826276041526165,,,181
graphcast_det,msl,6,12.108376168145758,15.52179924032306,,,181
graphcast_det,u850,6,0.11204800981606663,0.14961838656367518,,,181
graphcast_det,v850,6,0.11334930446616806,0.15130356423433314,,,181
graphcast_det,t850,6,0.07364651381903704,0.10014703890401355,,,181
graphcast_det,z500,6,10.202210025544993,12.86962417476085,,,181
graphcast_det,wind_speed,6,0.08512272218518495,0.112488209295668,,,181
graphcast_det,u10,12,0.21387049486776666,0.2861648644860937,,,181
graphcast_det,v10,12,0.2258606198836468,0.30224457860651593,,,181
graphcast_det,t2m,12,0.16876438829469984,0.2947725006559277,,,181
graphcast_det,msl,12,22.1053604420613,29.147284839693356,,,181
graphcast_det,u850,12,0.3580831633470259,0.4704494298492347,,,181
graphcast_det,v850,12,0.3790603114509008,0.49837497996361874,,,181
graphcast_det,t850,12,0.18822069694798416,0.25737539419482425,,,181
graphcast_det,z500,12,18.20157066153727,23.568563166244253,,,181
graphcast_det,wind_speed,12,0.2088163673293106,0.2781083361549272,,,181
graphcast_det,u10,18,0.2277887227074151,0.304722858726649,,,181
graphcast_det,v10,18,0.24208141293707633,0.32505595486467054,,,181
graphcast_det,t2m,18,0.18815064610236998,0.3168949384386368,,,181
graphcast_det,msl,18,23.747738980462174,31.551965102306387,,,181
graphcast_det,u850,18,0.3592246489451109,0.47313555317689043,,,181
graphcast_det,v850,18,0.3745252033218244,0.49508973758523633,,,181
graphcast_det,t850,18,0.19139121830791528,0.2681781615835527,,,181
graphcast_det,z500,18,19.59245948966748,25.897570278104496,,,181
graphcast_det,wind_speed,18,0.22273217702867165,0.29752378536192753,,,181
graphcast_det,u10,24,0.2969119744197057,0.40102651748209367,,,181
graphcast_det,v10,24,0.31594693423023884,0.42724855696957414,,,181
graphcast_det,t2m,24,0.21918573558394042,0.35328784716722056,,,181
graphcast_det,msl,24,30.155147271529565,40.92863628745738,,,181
graphcast_det,u850,24,0.47630422593776467,0.6285144851352629,,,181
graphcast_det,v850,24,0.5013041021140139,0.6654069693707629,,,181
graphcast_det,t850,24,0.2569116826944118,0.35670107899449804,,,181
