step,lr,train_loss,val_loss,elapsed_s
500,3.00e-04,0.2049,0.2219,241
1000,2.25e-04,0.1934,0.2130,485
1500,7.53e-05,0.1906,0.2026,733
2000,3.29e-10,0.1894,0.1987,982
