step,lr,train_loss,val_loss,elapsed_s
500,3.00e-04,0.2264,0.2493,321
1000,2.25e-04,0.2134,0.2359,635
1500,7.53e-05,0.2103,0.2239,936
2000,3.29e-10,0.2095,0.2196,1236
