step,lr,train_loss,val_loss,elapsed_s
1000,4.00e-04,0.4445,0.4650,684
2000,3.95e-04,0.4120,0.4382,568
3000,3.84e-04,0.3867,0.4230,1139
4000,3.67e-04,0.3765,0.4171,1711
5000,3.44e-04,0.3687,0.4145,2272
6000,3.16e-04,0.3396,0.4196,2827
7000,2.85e-04,0.3257,0.4231,3396
8000,2.51e-04,0.3161,0.4312,713
9000,2.15e-04,0.2987,0.4361,1295
10000,1.78e-04,0.3050,0.4348,1877
8000,4.49e-05,0.2983,0.4276,866
9000,1.16e-05,0.2936,0.4275,1481
