step,lr,train_loss,val_loss,elapsed_s
1000,4.00e-04,0.4488,0.4681,261
2000,3.97e-04,0.4103,0.4439,534
3000,3.89e-04,0.3875,0.4318,797
4000,3.76e-04,0.3692,0.4270,1156
5000,3.58e-04,0.3543,0.4239,1414
6000,3.35e-04,0.3643,0.4192,1674
7000,3.09e-04,0.3564,0.4203,1927
8000,2.80e-04,0.3462,0.4204,2184
9000,2.49e-04,0.3460,0.4249,2438
10000,2.17e-04,0.3338,0.4294,2703
11000,1.84e-04,0.3198,0.4298,2961
12000,1.51e-04,0.3062,0.4375,3232
