step,lr,train_loss,val_loss,elapsed_s
500,2.96e-04,0.5500,0.5750,685
1000,2.53e-04,0.4230,0.4544,1365
1500,1.76e-04,0.3844,0.4033,2018
2000,9.07e-05,0.3498,0.3815,2690
2500,2.48e-05,0.3638,0.3697,3329
3000,1.02e-10,0.3395,0.3677,3966
